강좌명,운영기관명,구,교육대상구분,카테고리,홈페이지주소
"북토크-다민족 사회 대한민국 : 이주민, 차별, 인종주의",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]혈자리로 건강찾기 : 새롭게 나를 만나는 시간 시즌2,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[10월 월담] 민요+ 장구와 함께하는 가을여행,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
사회지리학2,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]단편낭독 10월: 밀란 쿤데라,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[경희대 아프리카 연구센터] 발라드 in 아프리카,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[우리들교실] 사진과 함께하는 세계여행,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]힐링스피치 시즌4,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[기관협력- 오후반] 서종남교수의 행복한 글쓰기 프로젝트 ON,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[기관협력- 오전반] 서종남교수의 행복한 글쓰기 프로젝트 ON,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[우리들교실] 쉘위훌라 건강댄스,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[우리들교실] 창의 전래놀이,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
